ID	Reference	Title	Year	Authors	doi	Experimental_Setup	Preprocessing_reported	Inclusion_1	Reason_exclusion_1	Open_data_1	Screening_1	Notes_1	Inclusion_2	Reason_exclusion_2	Open_data_2	Screening_2	Notes_2	Inclusion_final	Reason_final
138	"Magen, H., & Cohen, A. (2010). Modularity beyond perception: Evidence from 
 the PRP paradigm. Journal of Experimental Psychology: Human Perception and Performance, 36(2), 395."		2010	Magen, H., & Cohen, A.	https://doi.org/10.1037/a0017174	"Apparatus and Stimuli
Participants were tested in a dimly lit room, with their head on
a chin rest. The stimuli were presented on a NEC MultiSynch 4E
color monitor that was controlled by a Pentium microcomputer.
All experiments were programmed using C. Participants
viewed the display from a distance of 100 cm. The stimulus for the
first task (S1) was a computer-generated tone presented at 300 or
900 Hz, and lasting 150 ms. The stimulus for the second task (S2)
was visual and will be described in detail with each experiment.
The luminance of the second task stimuli was approximately 20
cd/m2 against a dark background (0.5 cd/m2
). In all experiments,
participants responded to the tone task with their left hand by
pressing one of two buttons mounted on a response board interfaced with the computer. The responses to the visual task were
either manual (using their right hand) or vocal and will be described separately for each experiment.
Design
The first of the two tasks in each trial was a tone discrimination
task in which participants had to decide if a tone was “high” or
“low.” S1 and S2 were separated by four different SOAs: 50, 150,
300, 900. Each of the four SOAs appeared in 25% of the trials.
Each of the tones appeared in 50% of the trials.
Each experiment consisted of two sessions. In Experiments 1 to
3, each session was divided into eight blocks of 96 trials each, and
in Experiments 4 to 6 each session was divided into eight blocks
of 80 trials. In all of the experiments, participants worked through
three practice blocks in the first session, prior to the eight blocks
of the experiment. First they performed a block of 30 practice trials
for the tone task only. Next they performed a short block of 16
trials for both tasks. Following the short demonstration block they
performed a practice block of 96 trials.
Procedure
Each trial began with the presentation of an achromatic asterisk,
serving as a fixation point. The fixation point appeared at the
center of the screen for 250 ms. After its offset, the tone was
presented at either 300 or 900 Hz for 150 ms. The visual stimulus
was presented after an interval of 50, 150, 300, or 900 ms. The
visual target remained on the screen until the participant responded
to both tasks. Participants were instructed to respond first to the
tone and then to the visual stimulus. The message “ERROR” was
presented on the screen for 500 ms following incorrect responses
with an added specification whether the error was on the first,
second or both of the tasks. In any case, the intertrial interval was
1,500 ms.
Participants were given verbal instructions explaining the course
of each trial. They were asked to respond rapidly and as accurately
as possible to both tasks. In addition, they were asked specifically
to respond rapidly to the tone, to discourage them from grouping
the two responses and respond to both as one unit (Pashler &
Johnston, 1989). Experiment 1: Stimuli and design. The stimuli for T2 were the words red,
green, and blue (in Hebrew) each consisting of four letters. Red
and green served as targets and all three words served as distracters. The letters were achromatic, each measuring approximately
0.52° of visual angle in height and 0.52° in width. The target
appeared at the center of the screen, flanked by two identical
distracters on each side. The center to center distance between the
target and distracters was approximately 2.71° of visual angle.
There were three congruency conditions: In the congruent condition the target and the distracters matched (e.g. red flanked by red).
In the incongruent condition the target was assigned to one response and the distracters were associated with the alternative
response (e.g. red flanked by green). In the neutral condition the
distracters (blue) were not associated with any response.
The PRP design resulted in a 4 (SOA)  2 (auditory targets for
T1)  2 (T2 targets)  3 (congruency)  48 different target
displays. In Experiment 1a participants responded to T2 manually
by pressing one of two response buttons mounted on a response
board connected to the computer. A voice key connected to the
computer, recorded response latencies in Experiment 1b. To allow
analysis of errors in Experiment 1b, the experimenter sat with
the participants throughout the experiment and coded their vocal
responses. Experiment 2: Stimuli and design. The targets for T2 in Experiment 2 were
the digits 3 and 4. The distracters were the digit words three, four,
and five. The words three and four in Hebrew consist of four
letters, and the word five consists of three letters. The letters and
digits were achromatic, each measuring approximately 0.52° of
visual angle in height and 0.52° in width. The center to center
distance between the target and distracters was approximately
1.90° of visual angle.
The combination of targets and distracters resulted in three
congruency conditions. In the congruent condition, the target and
distracters matched (e.g. the digit 3 surrounded by the word three).
In the incongruent condition, the target was assigned to one response and the distracters to the second response (e.g. the digit 3
surrounded by the word four). In the neutral condition the target
was assigned to one response and the distracters were not assigned
to any of the responses (e.g. the digit 3 surrounded by the word
five). The entire PRP design consisted of 48 different combinations
of tones and visual displays: 4 (SOA)  2 (auditory targets for
T1)  2 (T2 targets)  3 (congruency). Participants responded
manually to T2 by pressing one of two response buttons mounted
on a response board interfaced with the computer. Experiment 3: Stimuli and design. The target was a colored vertical line
(either red or green) subtending approximately 0.52° of visual
angle in length and 0.03° in width, which appeared at the center of
the screen. The distracters were the digits 3, 4, or 5. The digits
were achromatic, each measuring approximately 0.52° of visual
angle in height and 0.52° in width. The distracters appeared on the
two sides of the target and were always identical. The center-tocenter distance between the target and distracters was approximately 1° of visual angle. The combination of the targets and
flankers resulted in three congruency conditions as described
above. The overall PRP design resulted in a 4 (SOA)  2 (T1
targets)  2 (T2 targets)  3 (congruency)  48 different combinations of target displays. Participants responded vocally to the
second task, and the vocal response was registered by a voice key
interfaced with the computer. The experimenter sat with the participants throughout the experiment and scored their vocal response. Experiment 4: Stimuli and design. The prime words consisted of one of the
Hebrew words for red, green, yellow, or blue, each consisting of
four letters. Each letter measured approximately 0.52° of visual
angle in height and 0.52° in width. The target was a colored line
(red, green, yellow, or blue) subtending approximately 0.52° of
visual angle in length and 0.03° in width. All stimuli were presented at the center of the screen.
We used a 4 (stimuli) to 2 (manual responses) mapping. The
distracter-target combination led to three conditions (see Figure 3).
In the congruent condition, the distracter and target were the same
color. In the SR condition the distracter and target were different
colors, but both were associated with the same response. In the DR
condition, the color of the target differed from the distracter color
and was associated with the alternative response. The distracter
was congruent on 70% of the trials. Each of the other three colors
followed the cue in 10% of the trials, ensuring that the various
displays of these conditions appeared equally often. As a result, the
SR and DR conditions occurred in 10% and 20% of the trials,
respectively.
In this PRP design there were 32 different trials, 4 (SOA)  2
(auditory targets)  4 (second task targets) without consideration
of the prime. Because 70%, 10%, and 20% of each type of trial had
to be congruent, SR or DR, respectively, the design resulted in a
block of 32 (different trials)  10 (primes)  320 trials. Accordingly, each session consisted of two blocks of 320 trials in which
each possible combination appeared once. We divided each of the
two blocks to four subblocks of 80 trials each. The participants
received a short break after each of the eight subblocks.
The prime word for T2 appeared at the center of the screen for
100 ms, and was replaced by the target. The same four SOA
conditions were used in the present experiment as in previous
experiments. Because the prime preceded the target by 100 ms, the
SOAs between T1 and the T2 distracter were actually –50, 50, 200,
and 800 ms. We ran two versions of the experiment each with 13
participants, which differed only in the assignments of colors to
responses. In one version the colors red and green were assigned
for the first response, and blue and yellow for the second response.
In the second version, green and blue were assigned for the first
response and red and yellow for the second response. Experiment 5: Stimuli and design. The stimuli were identical to those of
Experiment 4. Participants named the color. This design led to two
conditions, the congruent condition in which the prime word
matched the target color, and the incongruent condition in which
the prime word and target color did not match. Each word was
followed equally often by each of the four target colors. As a result
25% of the trials were congruent and 75% of the trials were
incongruent. This design consisted of 4 (SOA)  2 (auditory
targets)  4 (second task targets)  4 (second task distracters),
creating 128 different trials. Each session consisted of five blocks
of 128 trials. The participants had a break every 64 trials.
The participants’ vocal responses were collected using a voicekey interfaced with the computer. The experimenter scored the
vocal responses throughout the experiment. Experiment 6: Stimuli and design. Like Experiments 4 and 5, the stimuli for
T2 consisted of a cue and a target. The cue was the Hebrew word
for digit (consisting of four letters) or for letter (consisting of three
letters). The targets were either digits (3, 7, 9) or letters (P, S, Z).
Each letter (cues and targets) and digit subtended approximately
0.52° of visual angle in height and 0.52° in width. We used a 6 (stimuli)  2 (response) mapping. Each letter or digit was preceded by a cue that indicated one of the two categories. On 80%
of the trials the cue indicated the category of the following target
(the congruent condition). On the remaining 20% of the trials the
cue indicated the other category (the incongruent condition). The
cue for T2 appeared at the center of the screen for 100 ms, and was
replaced by the target.
S1 and S2 were separated by the same four SOAs as in previous
experiments. Each of the four SOAs appeared in 25% of the trials.
There were 32 different trials, 4 (SOA)  2 (auditory targets)  2
(S2 category)  2 (congruency). The three targets for each category were chosen randomly on each trial. The 32 different trials
and 80% validity resulted in a minimal block of 160 trials. Each
session consisted of four blocks of 160 trials. As in Experiment 4
we divided each block to subblocks of 80 trials.
Participants responded vocally to the second task. The vocal
response was registered by a voice-activated device interfaced
with the computer. The category was the defining feature for the
response. Participants had to say two arbitrary words in response
to T2, the Hebrew word for white when the target was a digit, and
the Hebrew word for black when the target was a letter. The
experimenter sat with the participant throughout the experiment
and keyed their vocal responses."	no	1			JW		0			HL		0	No Simon task
139	"Ragot, R., & Lesevre, N. (1986). Electrophysiological study of intrahemispheric 
 S?R compatibility effects elicited by visual directional cues. Psychophysiology, 23(1), 19-27."		1986	Ragot, R., & Lesevre, N.	https://doi.org/10.1111/j.1469-8986.1986.tb00586.x			1	"decided to include after the discussion with the second group of coders; too small sample (n=7)"		EP		1			LD_HP	"two conditions, foveal vs extrafoveal; not clear who coded it first. Was changed to LD_HP 19.05.2022"	1	
140	"Valle-Inclán, F. (1996). The Simon effect and its reversal studied with 
 event-related potentials. International Journal of Psychophysiology, 23(1-2), 41-53."		1996	Valle-Inclán, F.	https://doi.org/10.1016/0167-8760(96)00027-X			0	no RT reported. Just mean values of the main effect. The only information avaliable is on a figure, but I dont want to guess the RT		EP	Too small sample size (n=14)	0	up and down vs left and right		LS_LW		0	Vertical task
141	"Voß, A., Rothermund, K., & Wentura, D. (2003). Estimating the valence of single
 stimuli: A new variant of the affective Simon task. Experimental Psychology, 50(2), 86."		2003	Voß, A., Rothermund, K., & Wentura, D.	10.1027//1618-3169.50.2.86	Affective Simon Task		0	Affective Simon Task (emotions)		EP	We decided to exclude emotional stimuli. We might reconsider it though. I screened at least 2 papers (incl. this), where they used the affective Simon task	0	affective simon task		LD_HP	doi does not exist	0	Affective Simon task
142	"Lev-Ari, S., & Peperkamp, S. (2014). The influence of inhibitory skill on 
 phonological representations in production and perception?. Journal of Phonetics, 47, 36-46."		2014	Lev-Ari, S., & Peperkamp, S.	https://doi.org/10.1016/j.wocn.2014.09.001	arrows 		1			HL		1			EB		1	
143	"Arend, U., & Wandmacher, J. (1987). On the generality of logical recoding in 
 spatial interference tasks. Acta Psychologica, 65(3), 193-210."		1987	Arend, U., & Wandmacher, J.	https://doi.org/10.1016/0001-6918(87)90049-7			0	too small sample (n=8), results are unclear --> maybe to include later. Right now I can find the results only on a figure, which I cant use		EP		0	8 subjects, within hand, no RTs		LS_LW		0	No Simon task
144	"Tagliabue, M., Vidotto, G., Umiltà, C., Altoè, G., Treccani, B., & Spera, P. (2007). 
 The measurement of left—right asymmetries in the Simon effect: A fine-grained analysis. Behavior Research Methods, 39(1), 50-61."	The measurement of left—right asymmetries in the Simon effect: A fine-grained analysis.	2007	Tagliabue, M., Vidotto, G., Umiltà, C., Altoè, G., Treccani, B., & Spera, P.	10.3758/BF03192843	Apparatus and Stimuli. The subjects were seated in front of an IBM 386 computer connected to an NEC MultiSync 3FG color monitor through a VGA card. The experiment was run using the Micro Experimental Laboratory (MEL, Version 2.0) software system. A central 0.7º  0.7º cross was presented at fixation, accompanied by a 440-Hz warning tone. Target stimuli were two colored squares (green and red) approximately 1.5º  1.5º in size, shown 10º to the right and to the left of fixation. Responses were executed by pressing the F key (left of body midline) or the K key (right of body midline) with the left or right index finger, respectively. Both keys were covered by white stickers. Procedure. All the subjects performed a Simon task. Trials began with the presentation of the fixation cross, which remained visible for 1,800 msec. The acoustic warning tone was delivered at the onset of fixation and lasted for 300 msec. At the offset of fixation, the imperative stimulus appeared for 100 msec. After 1,700 msec, a new trial began. The maximum allowed response time was 1,500 msec. There was a total of 144 experimental trials, equally distributed across the four stimulus position  response position conditions and presented in random order. The experimental trials were preceded by as many practice trials as were needed to execute 10 correct trials. Half of the subjects were instructed to press the right key in response to the red square and the left key in response to the green square. The opposite mapping was assigned to the other half of the subjects. (same for experiment 1 and 2)	not reported	1			JW		1	No SD reported		EB		1	
145	"Simon, J. R., Craft, J. L., & Small, A. M. (1970). Manipulating the strength of a 
 stereotype: Interference effects in an auditory information-processing task. Journal of Experimental Psychology, 86(1), 63."	Manipulating the strength of a stereotype: Interference effects in an auditory information-processing task.	1970	Simon, J. R., Craft, J. L., & Small, A. M.	https://doi.org/10.1037/h0029944	"ach 5 re-sponded to the same random sequence of 168 tonalcommands. On each trial, cither the 200-H/,.tone (low-pitched) or the SOO-H/. tone (high-pitched) was presented to one car. Half of themales and half of the females were instructed topress the right key if they heard the high-pitchedlone and to press the left key if they heard thelow-pitched tone. The other half of the 5s weregiven the opposite tone-key rule. On half of thetest trials, the tonal command was presented toone ear or the other with no stimulus presentedto the opposite ear. On the other half of the testtrials, a broad-band noise of 89-db. overall SPLwas presented to the opposite ear simultaneouslywith the onset of the tonal command. The 5s hadno way of knowing prior to a given trial (a) thetone which would be presented, (&) the ear inwhich it would appear, and (c) whether the tonewould be accompanied by a noise in the oppositeear. The eight treatment combinations; i.e., rightor left tonal command to cither the right or leftear with or without a noise to the opposite ear,were each presented 21 times within a single blockof trials."	not reported	0	auditory stimulus		ME	Audio Simon task	0	auditory Simon task		HL		0	Auditory Simon task
146	"Hommel, B. (2005). Perception in action: Multiple roles of sensory information 
 in action control. Cognitive Processing, 6(1), 3-14."	Perception in action: Multiple roles of sensory information in action control.	2005	Hommel, B.				0	Is a review article		ME	This is a review article	0	no simon task		LD_HP		0	No Simon task
147	"Vuillier, L., Bryce, D., Szücs, D., & Whitebread, D. (2016). The maturation of 
 interference suppression and response inhibition: ERP analysis of a cued Go/Nogo task. PloS one, 11(11), e0165697."	"The maturation of 
 interference suppression and response inhibition: ERP analysis of a cued Go/Nogo task"	2016	Vuillier, L., Bryce, D., Szücs, D., & Whitebread, D.	https://doi.org/10.1371/journal.pone.0165697	"Stimuli were colored pictures of animals presented on a 17-in computer screen. The participants were seated 100 cm away from the screen. Only one animal was presented at a time, in the top or the bottom half of the screen. Stimuli were orange animals “from the land” (lion, leopard, tiger and puma) and blue animals “from the sea” (dolphin, whale, orca, fish). Half of the participants were asked to feed the orange animals and the other half were asked to feed the blue animals by pressing on a button when they saw a ‘Go’ animal (i.e. the one they had to feed) and to withhold their response for a ‘Nogo’ animal. 80% of the trials were Go, 20% were Nogo. A cue (small asterisk) preceded the presentation of the animal and was presented for 150 ms in the top or the bottom half of the screen. This cue predicted the location of the animal 65% of the time, although no such information was given to the participants. The trial was called congruent if the cue and the animal appeared at the same location; and incongruent if the cue and the animal appeared in different halves of the screen (see Fig 1). The cue and the targets were presented at a visual angle of 1° and 2° respectively. The inter-trial interval was 1000 ms. The animals were equally and randomly presented in the top or the bottom half of the screen. Participants gave behavioral responses by pressing a button on a game pad with the left or right thumb. For half of the participants, the top button was on the left side, for the other half it was on the right side. The cue and the stimulus were presented to the top or to the bottom of the screen to ensure that both visual fields (left and right) were equally stimulated, thus avoiding any confounding brain activity in the LRP analyses. Each trial consisted of a fixation sign (drawing of an eye) shown for 500 ms followed by a 1000 ms blank period. Then, the cue was presented for 150 ms, and the stimulus was presented after a 500 ms blank-screen and for a maximum of 1750 ms. The stimulus disappeared when the participant gave a response (or stayed on the screen for the maximum period for Nogo trials). The offset of the stimulus was followed by a 1000 ms blank screen. Participants were advised to blink only when they saw the drawing of an eye. The experiment took on average 1.5 h to complete. The children completed five blocks of 90 stimuli (altogether 248 Go Congruent trials, 112 Go Incongruent trials, 45 NoGo Congruent trials and 45 Nogo Incongruent trials) and the adults completed 10 blocks. The experiment was preceded by 20 practice trials. Stimuli were presented by the Presentation program of the Neurobehavioral Systems (San Fransisco, CA, USA). Data were recorded in an acoustically and electrically shielded testing booth. EEG was recorded by an Electrical Geodesics system with a 64-channel Geodesic Sensor Net for children and a 128-channel Geodesic Sensor Net for adults. The sampling rate was 500 Hz. An on-line lowpass filter of 70 Hz was used. The data were band-pass filtered between 0.03 and 30 Hz off-line and were recomputed to average reference. Epochs extended from ?850 to +850 ms relative to stimulus presentation. Data were baseline corrected by a baseline of ?200 to 0 ms relative to stimulus presentation (for N2 analyses), or ?200 to 0 relative to the cue presentation (for LRP analyses). Epochs containing ocular artefacts (monitored at electrodes below, above, and next to the eyes) and epochs containing voltage deviations exceeding ±200 ?V relative to baseline at any of the recording electrodes were rejected. The maximal allowed voltage step was 50 ?V/ms. Participants with less than 60% of all trials accepted after artefact rejection were excluded from the sample (two children and one adult). On average, 76% of trials were kept in children and 89% in adults.
 
 Averaged ERPs were computed for each participant in the four different conditions: (1) Go Congruent trials (GC); (2) Go Incongruent trials (GI); (3) NoGo Congruent trials (NGC); and (4) NoGo Incongruent trials (NGI). Only correct response (Go) or correct no response trials (Nogo) were included in the averaging procedure. After artefact rejection and selection of correct trials, an average of 287 trials were kept per child participant (172 GC, 79 GI, 32 NGC and 4 NGI) and 747 per adult participant (436 GC, 193 GI, 78 NGC and 40 NGI)."	yes- some data rejected because of EEG artefacts	0	children (and adults) tested, EEG analyses done		JW		0	vertical simon task		DFD_KM		0	Vertical task
